pca,building,training,part,clause,circuit,fuzzy,tangent,analog,letter,light,concept,pyramid,wavelet,net,set,data,potential,star,chess,estimator,oscillator,instruction,component,chip,option,pattern,rotation,belief,map,tree,delay,spike,eeg,rule,rules,expert,block,user,loss,document,subscriber,memory,lesion,call,signal,solution,view,stress,distance,evidence,policy,perceptron,direction,song,saliency,control,error,kernel,system,digit,disparity,controller,target,dialogue,field,noise,hand,routing,road,input,motion,character,algorithm,neuron,operator,unit,neural,hint,motor,weight,object,function,item,speaker,channel,point,model,classifier,action,iiii,attractor,head,context,task,skill,word,network,cell,learning
0,0,20,1,0,0,0,0,0,0,2,0,0,0,4,16,3,5,0,0,0,0,0,0,0,0,30,0,0,1,1,0,0,0,3,8,0,0,0,0,0,0,1,0,3,0,47,0,0,4,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,24,1,3,0,1,8,7,0,0,0,1,7,0,0,0,0,0,0,8,0,0,67,0,18
1,0,11,3,0,1,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,16,0,0,0,8,1,0,0,0,37,0,0,31,1,1,9,10,0,0,8,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,44,3,11
0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,0,0,2,0,0,0,0,0,0,6,31,0,9,0,0,0,9,0,0,0,2,0,0,15,0,0,6,0,0,40,1,0,2,7,1,5,0,0,2,4,1,0,3,0,3,1,1,3,0,0,27,0,16
0,0,18,0,0,0,2,0,0,1,0,0,2,0,3,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,2,0,0,0,6,13,0,21,0,0,1,0,0,1,5,0,0,0,21,0,0,17,0,0,4,10,0,0,6,0,35,0,0,0,15,11,0,0,0,1,0,1,0,0,0,16,1,26
0,0,8,0,0,0,0,0,0,8,0,1,0,0,1,18,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,5,0,0,1,0,0,0,9,0,0,0,16,0,2,0,0,0,4,0,0,0,5,0,0,14,0,6,40,0,0,9,8,0,0,23,0,25,0,0,0,1,3,0,0,0,0,0,0,3,0,0,31,0,48
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,43,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,13,0,0,0,0,12,0,4,16,0,7,2,26,0,0,23,0,3,0,0,0,2,0,111,0,0,0,0,1,0,0,0,75,0,17
0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,6,5,2,0,0,3,0,0,4,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,9,0,0,26,14,0,0,13,0,0,7,0,20,0,0,0,3,28,1,0,0,1,0,0,1,0,0,22,0,3
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,0,0,11,3,0,0,3,0,9,0,0,0,21,1,0,0,0,0,0,1,0,0,1,17,0,13
0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,5,1,0,1,0,1,0,0,2,0,0,0,17,3,0,0,0,0,1,3,0,0,0,7,0,6,0,0,0,7,0,2,0,1,0,0,28,0,0,26,0,0,28,1,0,0,31,0,5,0,0,0,4,0,0,1,0,0,0,0,2,0,0,22,3,33
0,0,15,2,0,0,0,0,0,0,0,0,0,0,32,9,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,0,0,0,0,16,0,0,13,0,0,11,7,0,0,26,0,39,0,0,0,9,1,0,0,0,0,0,1,0,0,0,23,0,21
0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,27,2,0,0,0,0,1,0,8,0,0,0,8,0,0,3,0,3,0,0,0,8,2,0,0,0,0,0,1,0,0,0,13,0,0
0,0,20,0,0,0,0,0,0,0,0,1,0,0,14,22,8,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,14,0,0,1,0,0,12,2,0,0,6,0,3,0,0,0,1,1,0,1,0,0,0,0,4,0,2,58,0,19
0,0,24,0,0,0,0,0,0,0,0,0,0,0,10,18,0,1,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,5,0,0,0,0,0,0,30,0,0,1,0,0,95,2,0,0,8,0,10,0,0,0,1,0,0,0,0,0,0,0,8,0,0,82,0,13
0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,18,0,0,0,0,0,0,0,5,0,0,19,0,0,2,0,0,0,0,4,0,0,3,0,2,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,3,5,0,1,0,0,0,0,0,0,0,1,0,0,22,0,0,7,0,0,31,1,0,0,7,0,17,0,0,0,0,1,7,0,0,0,0,0,1,0,1,52,0,14
0,0,22,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1,0,0,0,1,18,0,0,0,0,15,0,3,0,0,0,0,0,0,55,0,0,0,42,0,0,1,0,0,0,9,0,0,2,0,15,0,0,2,1,1,1,0,0,0,0,0,7,0,0,8,0,2
