Survived,Pclass,Gender,Age,SibSp,Parch,Fare,Embarked
no,3,female,18,1,0,17.8,S
no,3,male,7,4,1,39.6875,S
no,3,male,21,0,0,7.8,S
no,1,male,65,0,1,61.9792,C
no,3,male,28.5,0,0,7.2292,C
no,3,male,11,5,2,46.9,S
no,3,male,22,0,0,7.2292,C
no,1,male,45,1,0,83.475,S
no,3,male,4,3,2,27.9,S
no,3,male,19,0,0,8.1583,S
no,3,male,26,2,0,8.6625,S
no,2,male,32,0,0,10.5,S
no,3,female,16,5,2,46.9,S
no,2,male,21,0,0,73.5,S
no,3,male,26,1,0,14.4542,C
no,3,male,25,0,0,7.65,S
no,3,male,22,0,0,9,S
no,1,male,28,0,0,47.1,S
no,3,male,16,1,3,34.375,S
no,3,male,24,0,0,8.05,S
no,3,male,29,0,0,8.05,S
no,3,male,20,0,0,7.8542,S
no,1,male,46,1,0,61.175,S
no,3,male,26,1,2,20.575,S
no,3,male,59,0,0,7.25,S
no,1,male,71,0,0,34.6542,C
no,2,male,34,1,0,26,S
no,3,female,28,0,0,7.8958,S
no,1,male,21,0,1,77.2875,S
no,3,male,33,0,0,8.6542,S
no,3,male,37,2,0,7.925,S
no,3,male,28,0,0,7.8958,S
no,3,male,38,0,0,7.8958,S
no,1,male,47,0,0,52,S
no,3,female,14.5,1,0,14.4542,C
no,3,male,22,0,0,8.05,S
no,3,female,20,1,0,9.825,S
no,3,female,17,0,0,14.4583,C
no,3,male,21,0,0,7.925,S
no,3,male,70.5,0,0,7.75,Q
no,2,male,29,1,0,21,S
no,1,male,24,0,1,247.5208,C
no,3,female,2,4,2,31.275,S
no,2,male,21,2,0,73.5,S
no,2,male,32.5,1,0,30.0708,C
no,1,male,54,0,1,77.2875,S
no,3,male,45,0,0,6.975,S
no,3,male,33,0,0,7.8958,C
no,3,male,20,0,0,7.05,S
no,3,female,47,1,0,14.5,S
no,2,male,25,0,0,13,S
no,2,male,23,0,0,15.0458,C
no,1,male,37,1,0,53.1,S
no,3,male,16,0,0,9.2167,S
no,1,male,24,0,0,79.2,C
no,3,male,19,0,0,6.75,Q
no,2,male,18,0,0,11.5,S
no,2,male,19,1,1,36.75,S
no,3,female,9,2,2,34.375,S
no,2,male,36.5,0,2,26,S
no,2,male,42,0,0,13,S
no,2,male,51,0,0,12.525,S
no,3,male,55.5,0,0,8.05,S
no,3,male,40.5,0,2,14.5,S
no,1,male,51,0,1,61.3792,C
no,3,male,30,0,0,8.05,S
no,3,male,44,0,1,16.1,S
no,3,male,26,0,0,7.775,S
no,3,male,17,0,0,8.6625,S
no,3,male,1,4,1,39.6875,S
no,3,female,45,1,4,27.9,S
no,3,male,28,0,0,56.4958,S
no,1,male,61,0,0,33.5,S
no,3,male,4,4,1,29.125,Q
no,3,male,21,0,0,7.925,S
no,1,male,56,0,0,30.6958,C
no,3,male,18,1,1,7.8542,S
no,1,female,50,0,0,28.7125,C
no,2,male,30,0,0,13,S
no,3,male,36,0,0,0,S
no,3,male,9,4,2,31.3875,S
no,3,male,40,1,1,15.5,Q
no,3,male,36,0,0,7.8958,S
no,2,male,19,0,0,13,S
no,3,male,42,0,1,8.4042,S
no,2,female,24,0,0,13,S
no,3,male,28,0,0,9.5,S
no,3,male,34,0,0,6.4958,S
no,3,male,45.5,0,0,7.225,C
no,3,female,2,0,1,10.4625,S
no,3,male,32,1,0,15.85,S
no,3,male,24,0,0,7.05,S
no,3,male,22,0,0,7.25,S
no,2,male,30,0,0,13,S
no,2,male,42,1,0,27,S
no,2,male,30,0,0,10.5,S
no,2,male,27,0,0,13,S
no,3,male,51,0,0,8.05,S
no,3,male,22,0,0,9.35,S
no,3,male,20.5,0,0,7.25,S
no,2,male,18,0,0,13,S
no,3,male,29,0,0,7.775,S
no,2,male,59,0,0,13.5,S
no,2,male,24,0,0,10.5,S
no,2,male,44,1,0,26,S
no,2,male,19,0,0,10.5,S
no,2,male,33,0,0,12.275,S
no,2,male,29,0,0,10.5,S
no,3,male,22,0,0,7.125,S
no,3,male,30,0,0,7.225,C
no,1,male,44,2,0,90,Q
no,3,female,25,0,0,7.775,S
no,2,male,54,1,0,26,S
no,3,female,29,1,1,10.4625,S
no,1,male,62,0,0,26.55,S
no,3,male,30,1,0,16.1,S
no,3,female,41,0,2,20.2125,S
no,1,male,52,1,1,79.65,S
no,1,male,40,0,0,0,S
no,2,male,36,0,0,10.5,S
no,3,male,16,4,1,39.6875,S
no,1,male,37,0,1,29.7,C
no,3,female,45,0,0,7.75,S
no,3,male,7,4,1,29.125,Q
no,3,male,65,0,0,7.75,Q
no,3,male,28,0,0,7.8542,S
no,3,male,16,0,0,9.5,S
no,3,male,33,0,0,8.6625,C
no,3,male,22,0,0,7.8958,S
no,2,male,36,0,0,12.875,C
no,3,female,24,0,0,8.85,S
no,3,male,24,0,0,7.8958,S
no,3,male,23.5,0,0,7.2292,C
no,1,female,2,1,2,151.55,S
no,3,male,19,0,0,0,S
no,2,male,30,1,0,24,C
no,2,female,26,1,1,26,S
no,3,male,28,0,0,7.8958,S
no,2,male,43,1,1,26.25,S
no,2,male,54,0,0,14,S
no,3,male,22,0,0,7.25,S
no,3,male,27,0,0,7.8958,S
no,3,male,61,0,0,6.2375,S
no,1,male,45.5,0,0,28.5,S
no,1,male,38,0,1,153.4625,S
no,3,male,16,2,0,18,S
no,1,male,29,1,0,66.6,S
no,1,male,45,0,0,35.5,S
no,2,male,28,0,0,13,S
no,2,male,25,0,0,13,S
no,2,male,36,0,0,13,S
no,3,male,42,0,0,8.6625,S
no,3,male,23,0,0,9.225,S
no,3,male,15,1,1,7.2292,C
no,3,male,25,1,0,17.8,S
no,3,male,28,0,0,9.5,S
no,2,female,38,0,0,13,S
no,3,male,40,1,4,27.9,S
no,2,male,29,1,0,27.7208,C
no,3,female,45,0,1,14.4542,C
no,3,male,35,0,0,7.05,S
no,3,male,30,0,0,7.25,S
no,3,male,18,1,0,6.4958,S
no,3,male,19,0,0,8.05,S
no,1,male,22,0,0,135.6333,C
no,3,female,3,3,1,21.075,S
no,1,male,27,0,2,211.5,C
no,3,male,20,0,0,4.0125,C
no,3,male,19,0,0,7.775,S
no,3,male,32,0,0,7.925,S
no,2,male,18,0,0,73.5,S
no,3,male,1,5,2,46.9,S
no,3,male,28,2,0,7.925,S
no,3,male,22,0,0,7.7958,S
no,3,female,31,0,0,7.8542,S
no,2,male,46,0,0,26,S
no,2,male,23,0,0,10.5,S
no,3,male,26,0,0,8.05,S
no,3,female,21,1,0,9.825,S
no,3,male,28,1,0,15.85,S
no,3,female,20,0,0,8.6625,S
no,2,male,34,1,0,21,S
no,3,male,51,0,0,7.75,S
no,3,male,21,0,0,7.775,S
no,2,male,30,0,0,13,S
no,3,female,10,0,2,24.15,S
no,3,male,21,0,0,7.7333,Q
no,3,male,29,0,0,7.875,S
no,3,female,28,1,1,14.4,S
no,3,male,18,1,1,20.2125,S
no,3,male,17,0,0,7.125,S
no,1,male,50,1,0,55.9,S
no,3,female,21,2,2,34.375,S
no,1,male,64,1,4,263,S
no,2,male,31,0,0,10.5,S
no,3,male,20,0,0,9.5,S
no,3,male,25,1,0,7.775,S
no,2,male,36,1,2,27.75,S
no,1,male,30,0,0,27.75,C
no,1,male,65,0,0,26.55,S
no,3,male,34,0,0,8.05,S
no,1,male,47,0,0,38.5,S
no,2,male,48,0,0,13,S
no,3,male,38,0,0,7.05,S
no,1,male,56,0,0,26.55,S
no,3,male,38,0,0,8.6625,S
no,3,female,22,0,0,9.8375,S
no,2,male,34,1,0,21,S
no,3,male,29,1,0,7.0458,S
no,3,male,22,0,0,7.5208,S
no,3,male,9,5,2,46.9,S
no,3,male,50,0,0,8.05,S
no,1,male,58,0,0,29.7,C
no,3,male,30,0,0,8.05,S
no,3,male,21,0,0,7.25,S
no,1,male,55,0,0,30.5,S
no,1,male,71,0,0,49.5042,C
no,3,male,21,0,0,8.05,S
no,1,female,25,1,2,151.55,S
no,3,male,24,0,0,7.7958,S
no,3,male,17,0,0,8.6625,S
no,3,female,21,0,0,7.75,Q
no,3,female,37,0,0,9.5875,S
no,1,male,18,1,0,108.9,C
no,3,male,28,0,0,22.525,S
no,3,male,24,0,0,7.4958,S
no,1,male,47,0,0,34.0208,S
no,3,male,32,0,0,7.8958,S
no,3,male,22,0,0,7.8958,S
no,3,male,40.5,0,0,7.75,Q
no,3,male,39,0,0,7.925,S
no,2,male,23,2,1,11.5,S
no,3,male,17,1,1,7.2292,C
no,3,female,30,0,0,8.6625,S
no,1,male,45,0,0,26.55,S
no,3,female,9,4,2,31.275,S
no,3,female,11,4,2,31.275,S
no,1,male,50,1,0,106.425,C
no,1,male,64,0,0,26,S
no,3,male,33,1,1,20.525,S
no,2,male,27,0,0,26,S
no,1,male,62,0,0,26.55,S
no,3,male,40,0,0,7.8958,S
no,2,male,28,0,0,13.5,S
no,3,male,24,2,0,24.15,S
no,3,male,19,0,0,7.8958,S
no,3,female,29,0,4,21.075,S
no,3,male,16,0,0,8.05,S
no,3,male,19,0,0,14.5,S
no,2,male,54,0,0,26,S
no,1,male,36,0,0,40.125,C
no,2,male,47,0,0,15,S
no,3,male,22,0,0,8.05,S
no,3,male,35,0,0,7.125,S
no,3,male,47,0,0,7.25,S
no,2,male,37,1,0,26,S
no,3,male,36,1,1,24.15,S
no,3,male,49,0,0,0,S
no,3,male,44,0,0,8.05,S
no,3,male,36,1,0,15.55,S
no,3,male,30,0,0,7.8958,S
no,3,female,39,1,5,31.275,S
no,3,male,35,0,0,8.05,S
no,3,male,34,1,1,14.4,S
no,3,female,26,1,0,16.1,S
no,2,male,26,0,0,10.5,S
no,3,male,27,1,0,14.4542,C
no,3,male,21,0,0,7.8542,S
no,3,male,21,0,0,16.1,S
no,1,male,61,0,0,32.3208,S
no,2,male,57,0,0,12.35,Q
no,3,male,26,0,0,7.8958,S
no,3,male,51,0,0,7.0542,S
no,3,female,9,3,2,27.9,S
no,3,male,32,0,0,7.925,S
no,2,male,31,1,1,26.25,S
no,3,female,41,0,5,39.6875,S
no,3,male,20,0,0,7.8542,S
no,3,female,2,3,2,27.9,S
no,3,male,19,0,0,7.8958,S
no,3,male,21,0,0,8.4333,S
no,3,female,18,0,0,6.75,Q
no,2,male,24,2,0,73.5,S
no,3,female,32,1,1,15.5,Q
no,2,male,23,0,0,13,S
no,1,male,58,0,2,113.275,C
no,3,male,40,0,0,7.225,C
no,1,male,47,0,0,25.5875,S
no,3,male,36,0,0,7.4958,S
no,2,male,32,2,0,73.5,S
no,2,male,25,0,0,13,S
no,3,male,43,0,0,8.05,S
no,1,male,31,1,0,52,S
no,2,male,70,0,0,10.5,S
no,3,male,18,0,0,7.775,S
no,3,male,24.5,0,0,8.05,S
no,3,female,43,1,6,46.9,S
no,3,male,20,0,0,9.225,S
no,3,male,14,5,2,46.9,S
no,2,male,60,1,1,39,S
no,2,male,25,1,2,41.5792,C
no,3,male,14,4,1,39.6875,S
no,3,male,19,0,0,10.1708,S
no,3,male,18,0,0,7.7958,S
no,3,male,25,0,0,7.225,C
no,1,male,60,0,0,26.55,S
no,2,male,52,0,0,13.5,S
no,3,male,44,0,0,8.05,S
no,1,male,49,1,1,110.8833,C
no,3,male,42,0,0,7.65,S
no,3,female,18,0,1,14.4542,C
no,3,male,25,0,0,7.7417,Q
no,3,male,26,1,0,7.8542,S
no,2,male,39,0,0,26,S
no,3,male,29,0,0,9.4833,S
no,2,male,52,0,0,13,S
no,3,male,19,0,0,7.65,S
no,3,male,33,0,0,7.775,S
no,3,male,17,1,0,7.0542,S
no,2,male,34,0,0,13,S
no,2,male,50,0,0,13,S
no,3,male,20,0,0,8.6625,S
no,2,male,25,1,0,26,S
no,3,female,25,1,0,7.925,S
no,3,male,11,0,0,18.7875,C
no,2,male,23,0,0,13,S
no,2,male,23,0,0,13,S
no,3,male,28.5,0,0,16.1,S
no,3,female,48,1,3,34.375,S
no,1,male,36,1,0,78.85,S
no,3,male,24,1,0,16.1,S
no,1,male,70,1,1,71,S
no,3,male,16,1,1,20.25,S
no,1,male,19,1,0,53.1,S
no,3,male,31,0,0,7.75,Q
no,3,male,33,0,0,9.5,S
no,3,male,23,0,0,7.8958,S
no,3,male,28,0,0,7.7958,S
no,2,male,18,0,0,11.5,S
no,3,male,34,0,0,8.05,S
no,3,male,41,0,0,7.125,S
no,3,male,16,0,0,7.775,S
no,3,female,30.5,0,0,7.75,Q
no,3,male,32,0,0,8.3625,S
no,3,male,24,0,0,9.5,S
no,3,male,48,0,0,7.8542,S
no,2,female,57,0,0,10.5,S
no,3,male,18,0,0,7.75,S
no,1,male,29,0,0,30,S
no,3,male,25,0,0,7.05,S
no,3,male,25,0,0,7.25,S
no,3,male,8,4,1,29.125,Q
no,1,male,46,0,0,79.2,C
no,2,male,16,0,0,26,S
no,3,male,25,0,0,7.8958,S
no,2,male,39,0,0,13,S
no,3,male,30,0,0,7.2292,C
no,3,female,30,1,1,24.15,S
no,2,male,34,0,0,13,S
no,3,male,31,0,0,7.775,S
no,1,male,39,0,0,0,S
no,3,female,18,0,0,7.775,S
no,2,male,39,0,0,13,S
no,3,male,26,0,0,7.8875,S
no,3,male,39,0,0,24.15,S
no,2,male,35,0,0,10.5,S
no,3,female,6,4,2,31.275,S
no,3,male,30.5,0,0,8.05,S
no,3,female,23,0,0,7.925,S
no,2,male,31,1,1,37.0042,C
no,3,male,43,0,0,6.45,S
no,3,male,10,3,2,27.9,S
no,1,male,38,0,0,0,S
no,3,male,2,4,1,39.6875,S
no,3,male,23,0,0,7.8542,S
no,3,male,18,0,0,8.3,S
no,3,male,21,0,0,8.6625,S
no,3,male,20,0,0,7.925,S
no,2,male,16,0,0,10.5,S
