age,type_employer,fnlwgt,education,marital,occupation,race,sex,hr_per_week,country,income
31,?,317761,Bachelors,Never-married,?,White,Male,40,United-States,<=50K
30,Private,55481,Masters,Never-married,Tech-support,White,Male,45,Nicaragua,<=50K
49,Federal-gov,128990,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
27,State-gov,315640,Masters,Never-married,Prof-specialty,Asian-Pac-Islander,Male,20,China,<=50K
46,Private,265266,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
36,Local-gov,241998,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,<=50K
25,Private,149875,Bachelors,Widowed,Exec-managerial,White,Female,40,United-States,<=50K
62,Private,94318,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
39,Private,89508,Bachelors,Married-civ-spouse,Sales,White,Male,40,United-States,<=50K
35,Private,185366,Bachelors,Never-married,Sales,White,Male,50,United-States,<=50K
41,Self-emp-inc,218302,Bachelors,Married-civ-spouse,Sales,White,Male,60,United-States,>50K
64,State-gov,211222,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,<=50K
38,Private,102938,Bachelors,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K
40,Private,260761,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,40,Mexico,<=50K
39,Private,286789,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
38,Private,272671,Bachelors,Divorced,Sales,White,Male,50,United-States,<=50K
32,Private,44677,Bachelors,Never-married,Adm-clerical,White,Male,40,United-States,<=50K
26,Private,117217,Bachelors,Divorced,Other-service,White,Female,45,United-States,<=50K
24,Local-gov,84257,Bachelors,Never-married,Prof-specialty,White,Male,50,United-States,<=50K
41,Federal-gov,214838,Masters,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,>50K
36,Federal-gov,54159,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,<=50K
57,Local-gov,118481,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
56,Private,192869,Masters,Married-civ-spouse,Craft-repair,White,Male,44,United-States,>50K
33,Private,202642,Bachelors,Separated,Prof-specialty,Black,Female,40,Jamaica,<=50K
26,Private,60722,Bachelors,Never-married,Prof-specialty,Asian-Pac-Islander,Female,40,United-States,<=50K
25,Private,234263,Bachelors,Never-married,Sales,White,Male,40,United-States,<=50K
27,Private,137063,Bachelors,Married-civ-spouse,Sales,White,Male,50,United-States,<=50K
32,Private,27051,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,44,United-States,<=50K
47,Private,46044,Masters,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,<=50K
39,Private,491000,Bachelors,Never-married,Exec-managerial,Black,Male,45,United-States,<=50K
26,Private,66638,Bachelors,Never-married,Exec-managerial,White,Female,50,United-States,<=50K
61,Private,181219,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
39,Private,230329,Bachelors,Married-civ-spouse,Sales,White,Male,40,Canada,>50K
25,Private,308144,Bachelors,Never-married,Craft-repair,White,Male,40,Mexico,<=50K
43,Private,352005,Bachelors,Married-civ-spouse,Sales,White,Male,45,United-States,>50K
36,Federal-gov,255191,Masters,Never-married,Prof-specialty,White,Male,40,United-States,<=50K
27,Private,126060,Bachelors,Never-married,Exec-managerial,White,Female,40,United-States,<=50K
35,Private,224889,Bachelors,Married-civ-spouse,Sales,White,Male,40,United-States,<=50K
49,Self-emp-not-inc,175622,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
51,Local-gov,155118,Masters,Married-civ-spouse,Prof-specialty,White,Female,70,United-States,>50K
59,Local-gov,53304,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
70,Self-emp-not-inc,124449,Masters,Married-civ-spouse,Exec-managerial,White,Male,8,United-States,>50K
23,State-gov,287988,Bachelors,Never-married,Prof-specialty,White,Male,40,United-States,>50K
