x,y,village_id,player_id,alliance_id
-303,314,25012,6143,141
-300,313,28637,6143,141
-298,309,16143,6143,141
-297,308,21194,6143,141
-12,74,10216,6143,141
57,-85,27847,14240,614
-123,76,24121,2523,0
-7,57,3799,2523,0
-31,-52,9728,3492,213
-31,-53,16544,3492,213
-31,-54,4557,3492,213
-30,-54,22394,3492,213
-33,-55,28070,3492,213
-32,-55,25793,3492,213
64,-24,6024,4327,220
75,-38,27881,4327,220
62,-49,16448,4327,220
62,-50,22941,4327,220
62,-51,9653,4327,220
-33,-52,13462,4110,213
-39,-54,18660,4110,213
-38,-54,5418,4110,213
-38,-55,10938,4110,213
-37,-56,23936,4110,213
71,-13,7399,5101,158
72,-16,26882,5101,158
73,-16,21355,5101,158
72,-17,13496,5101,158
73,-18,29999,5101,158
100,110,27187,274,30
99,109,24178,274,30
95,108,21581,274,30
98,108,15410,274,30
100,108,6808,274,30
98,104,30135,274,30
26,26,326,274,30
199,-113,10391,4152,220
201,-113,17381,4152,220
198,-116,24037,4152,220
199,-116,22390,4152,220
201,-116,26117,4152,220
200,-117,28634,4152,220
-99,53,19385,3881,48
-95,52,24611,3881,48
-97,51,26934,3881,48
-96,50,28772,3881,48
-98,49,23992,3881,48
-2,35,461,420,0
48,23,2149,1572,110
85,12,29447,1572,110
86,12,27253,1572,110
87,12,24616,1572,110
85,11,8151,1572,110
85,10,21008,1572,110
84,9,13658,1572,110
202,-150,26205,1552,0
201,-151,12208,1552,0
187,-153,21016,1552,0
191,-153,29203,1552,0
199,-155,27700,1552,0
204,-155,7980,1552,0
190,-157,22432,1552,0
196,-158,24297,1552,0
188,-159,17525,1552,0
207,-160,27282,1552,0
79,5,21523,6873,362
81,5,11929,6873,362
-205,365,24374,13319,600
-203,364,29759,13319,600
-80,51,20374,13319,600
-61,48,12079,6928,228
25,0,10561,291,0
28,-1,17686,291,0
-33,-53,4434,3485,0
-33,-56,18276,3485,0
19,59,4074,2790,393
126,-75,19404,2790,393
125,-77,24752,2790,393
126,-77,11207,2790,393
130,-78,28470,2790,393
58,70,17358,10122,0
34,-20,709,442,0
78,-12,11268,6613,0
-45,-11,1970,1383,33
-9,-21,17051,1383,33
-6,-22,7992,1383,33
-45,-4,1948,1362,79
-53,44,6650,4700,630
